product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Язык,5963.0,624,Мясо,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1990-02-17,2012-03-14,0.75,Cancelled
2,Лимон,5894.0,706,Фрукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1997-04-08,1999-05-16,1.63,Awaiting Payment
3,Матрасы,6203.0,81,Товары для дома,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2007-01-06,2020-01-02,3.88,Shipping
4,Кавказская,9305.0,631,Напитки,Может быть использован в качестве заменителя менее полезных продуктов.,2012-10-05,2018-08-03,5.0,Available for Pickup
5,Каша из дробленой булгура,584.0,106,Бакалея,Отвечает всем современным стандартам качества и безопасности.,2018-01-16,2021-01-01,3.7,Backorder
6,Чеснок,9116.0,722,Овощи,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2022-04-02,2024-01-05,4.96,Cancelled
7,Творог,9146.0,322,Молочные продукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2003-04-04,2023-05-01,3.98,Shipping
8,Йогурт,1039.0,23,Молочные продукты,"Подходит для приготовления как горячих, так и холодных блюд.",2015-07-02,2022-05-25,3.63,In Stock
9,Каша из риса дикого,2240.0,25,Бакалея,Помогает улучшить когнитивные функции и память.,1993-01-04,1996-07-15,2.35,Temporarily Unavailable
10,Каша из дробленой ячменя,8889.0,546,Бакалея,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2015-01-07,2021-07-11,2.49,In Stock
11,Яблоко,5876.0,719,Фрукты,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1991-12-22,2016-03-08,4.98,Temporarily Unavailable
12,Пакеты для библиотеки,3699.0,236,Товары для дома,Отличается простотой в использовании и хранении.,2019-03-03,2021-08-04,0.23,Shipping
13,Сервелат,9396.0,459,Мясо,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2022-01-15,2030-06-05,3.37,Cancelled
14,Помело,5435.0,728,Фрукты,Отличается гипоаллергенностью и безопасностью для большинства людей.,2017-08-07,2027-04-11,3.69,In Stock
15,Бритвенный станок,5542.0,779,Товары для дома,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2018-02-22,2021-01-10,3.3,Awaiting Review
16,Сухое молоко,1182.0,68,Бакалея,Используется в косметологии для ухода за кожей и волосами.,2004-01-01,2015-03-01,3.81,Cancelled
17,Пакеты для инструментов,7961.0,90,Товары для дома,Является важным компонентом сбалансированного рациона питания.,2003-06-03,2024-02-10,4.17,Backorder
18,Блюдца,359.0,599,Товары для дома,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2002-01-05,2026-03-07,3.9,Out of Stock
19,Петрушка сушеная,4340.0,211,Бакалея,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2001-07-06,2022-02-04,1.16,Sold
20,Огурец,9039.0,28,Овощи,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,1992-01-14,2013-02-02,0.81,Awaiting Review
21,Камут,5518.0,197,Бакалея,Помогает поддерживать нормальный уровень энергии и выносливости.,1990-02-14,1995-01-17,1.79,Delivered
22,Персик,9088.0,638,Фрукты,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2014-11-13,2023-08-01,0.43,Delivered
23,Каша из манной крупы,4566.0,809,Бакалея,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,1992-01-01,2002-06-08,1.31,Backorder
24,Паштет,1403.0,701,Мясо,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2003-02-01,2005-02-16,2.3,Sold
25,Кардамон молотый,6395.0,114,Бакалея,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2016-01-08,2022-02-03,0.34,Sold
26,Чизбургеры,7360.0,214,Мясо,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2015-02-05,2027-04-10,2.72,In Stock
27,Гранат,7457.0,737,Фрукты,Помогает предотвратить дефицит витаминов и минералов в организме.,2000-02-12,2003-03-02,1.73,In Stock
28,Пажитник сушеный,3934.0,748,Бакалея,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1993-02-07,2000-04-18,2.66,Cancelled
29,Турнепс,4798.0,634,Овощи,Способствует улучшению работы пищеварительной системы.,1997-11-11,1999-05-21,3.29,Delivered
30,Шубат,9558.0,339,Молочные продукты,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1991-03-06,2002-05-07,3.91,Awaiting Payment
31,Кабанятина,7321.0,604,Мясо,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2005-02-12,2014-10-05,3.06,Temporarily Unavailable
32,Фейхоа,5737.0,110,Фрукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2006-02-05,2015-01-18,1.26,Out of Stock
33,Куриные субпродукты,5767.0,641,Мясо,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1995-02-14,2003-11-18,0.35,Shipping
34,Сочи-Адлер,5885.0,459,Напитки,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2016-09-17,2020-02-16,3.11,In Stock
35,Кабачок,2193.0,778,Овощи,"Является источником антиоксидантов, замедляющих процессы старения.",2020-01-05,2021-07-01,1.66,On Backorder
36,Стейк,9424.0,367,Мясо,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1997-05-20,2011-04-18,3.43,On Backorder
37,Пена для бритья,7807.0,486,Товары для дома,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2019-02-01,2029-04-05,1.2,Cancelled
38,Топинамбур,9413.0,485,Овощи,Отличается низкой калорийностью и высоким содержанием белка.,1996-01-25,2009-03-17,3.21,Awaiting Payment
39,Каша из дробленной ржаной крупы,1938.0,176,Бакалея,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2008-02-18,2010-02-13,4.73,In Stock
40,Лимонад классический,5399.0,217,Напитки,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2021-03-08,2029-06-03,4.29,New
