product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Швабра,4522,923,Товары для дома,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1991-08-01,2014-01-06,0.73,New
2,Пакеты для музея,6030,689,Товары для дома,Способствует улучшению работы пищеварительной системы.,2015-02-12,2030-02-08,3.06,Awaiting Payment
3,Мытищинская,5901,237,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1994-03-01,2029-02-18,3.37,Pending
4,Горох,2976,119,Овощи,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2015-08-05,2019-04-19,1.6,Refunded
5,Каша из киноа,3427,216,Бакалея,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2009-01-20,2011-04-01,1.56,Awaiting Payment
6,Сулинка,3050,297,Напитки,"Является источником витаминов группы B, необходимых для энергетического обмена.",2009-01-02,2017-05-14,3.78,Returned
7,Яблоко,3559,115,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2009-02-08,2024-01-03,3.17,Shipping
8,Сорго,9144,18,Бакалея,"Является источником важных микроэлементов, таких как магний и калий.",2011-03-01,2028-09-04,3.27,Refunded
9,Пицца с мясом,6610,767,Мясо,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2013-02-07,2023-08-08,0.04,Cancelled
10,Щавель,7991,8,Овощи,Может использоваться в косметических процедурах для увлажнения кожи.,2018-03-05,2024-02-06,3.17,Refunded
11,Майонез,9035,566,Бакалея,Является неотъемлемой частью рациона многих народов мира.,2015-06-06,2030-02-07,4.59,Temporarily Unavailable
12,Редис,529,88,Овощи,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2008-05-17,2023-02-02,2.72,Available for Pickup
13,Подставки под столовые приборы,1127,416,Товары для дома,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2015-01-19,2016-02-01,1.62,On Backorder
14,Любисток сушеный,5168,245,Бакалея,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2017-01-01,2026-04-12,3.24,Delivered
15,Пастернак,5004,423,Овощи,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2000-07-12,2024-11-10,3.8,Delivered
16,Фарш свиной,2439,5,Мясо,Помогает укрепить иммунную систему и защитить организм от инфекций.,2013-06-04,2029-03-11,3.7,Refunded
17,Виноград,342,54,Фрукты,Может быть использован в качестве заменителя менее полезных продуктов.,2022-01-13,2030-01-17,2.46,New
18,Брюква,6856,949,Овощи,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",1993-12-18,2010-01-08,2.89,In Stock
19,Пакеты для конференции,4181,548,Товары для дома,Помогает поддерживать нормальный уровень глюкозы в крови.,2022-01-11,2024-02-08,4.99,Returned
20,Имбирь молотый,1407,980,Бакалея,Помогает поддерживать нормальный уровень энергии и выносливости.,2016-03-01,2023-01-01,4.22,Refunded
21,Панчетта,1499,77,Мясо,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2018-01-10,2020-04-05,3.33,Delivered
22,Adrenaline Rush,4775,170,Напитки,Помогает поддерживать нормальный уровень гемоглобина в крови.,2015-01-01,2023-01-07,4.78,Returned
23,Капучино,6392,391,Напитки,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2006-01-01,2022-07-01,0.02,Awaiting Payment
24,Каймак,5595,533,Молочные продукты,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",1992-06-11,2008-02-18,1.92,Available for Pickup
25,Индейка,4179,435,Мясо,Помогает поддерживать нормальный уровень электролитов в организме.,1993-04-01,2021-07-13,0.51,Cancelled
26,Морковь,7572,596,Овощи,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,1995-10-01,2026-01-10,3.0,Out of Stock
27,Севастопольская,5686,450,Напитки,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",1995-07-03,2027-02-07,2.26,Refunded
28,Пакеты для тренинга,3963,964,Товары для дома,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1993-01-04,2027-02-06,0.03,On Backorder
29,Картофель,2449,292,Овощи,Отличается простотой в использовании и хранении.,1996-01-10,2007-02-24,2.98,New
30,Каша из дробленной булгурной крупы,3163,562,Бакалея,Отличается способностью повышать общий тонус и работоспособность.,2015-09-03,2024-01-09,3.16,Awaiting Review
31,Цукини,302,673,Овощи,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1990-04-08,2009-01-03,4.59,Sold
32,Red Bull,2006,283,Напитки,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2004-01-22,2016-04-22,1.85,Returned
33,Каша из манной крупы,4101,100,Бакалея,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2006-05-03,2027-02-01,4.32,Out of Stock
34,Сало,4464,870,Мясо,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,1990-01-16,2016-02-04,4.09,Pending
35,Массандра,210,699,Напитки,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2009-07-02,2025-01-08,0.29,Cancelled
36,Burn,6720,152,Напитки,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2012-01-08,2020-05-16,2.45,Out of Stock
37,Инжир,851,939,Фрукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2007-05-07,2024-04-02,0.27,Shipping
38,Пакеты для Дня Земли,869,805,Товары для дома,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,1996-06-07,2017-01-01,2.07,Backorder
39,Шубат,4378,320,Молочные продукты,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2021-08-06,2029-10-03,0.25,Sold
40,Йогурт,1532,150,Молочные продукты,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2016-05-13,2026-04-01,1.5,Returned
41,Роллы с мясом,8359,171,Мясо,Придает блюдам особую нежность и насыщенность.,2019-02-01,2028-06-03,2.21,Shipping
42,Спаржа,423,787,Овощи,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",1996-01-21,2029-02-03,0.14,Temporarily Unavailable
43,7UP,6676,433,Напитки,"Богат кальцием, необходимым для укрепления костей и зубов.",2022-07-15,2024-02-21,0.66,Out of Stock
44,Варенец,1462,948,Молочные продукты,Широко используется в традиционной и современной кухне.,1997-02-13,2029-04-04,3.79,On Backorder
45,Масала чай,2954,463,Напитки,Отличается высоким уровнем биологической доступности питательных веществ.,2006-01-18,2020-01-01,0.95,Returned
46,Амурская,3793,382,Напитки,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",1997-03-19,2029-02-07,3.58,Returned
47,Пакеты для библиотеки,1211,52,Товары для дома,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2009-02-14,2017-01-01,2.37,Delivered
48,Банан,3704,305,Фрукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1997-06-15,2015-01-01,0.02,Temporarily Unavailable
49,Виноград,6972,486,Фрукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2015-08-05,2029-08-03,2.7,Out of Stock
50,Персик,7516,723,Фрукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2016-05-05,2025-01-02,1.06,Awaiting Payment
51,Брюква,5847,965,Овощи,Отличается высокими показателями усвояемости организмом.,2015-05-06,2029-01-12,0.87,New
52,Пакеты для благотворительного мероприятия,4451,351,Товары для дома,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2016-03-05,2018-02-10,0.13,Refunded
53,Пастернак,7502,333,Овощи,Помогает поддерживать оптимальный вес и форму тела.,1996-02-03,2007-01-05,2.97,Temporarily Unavailable
54,Балык,8499,86,Мясо,"Является источником витаминов группы B, необходимых для энергетического обмена.",2016-02-01,2020-03-04,0.36,Temporarily Unavailable
55,Пакеты для Рождества,7641,420,Товары для дома,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1990-01-02,2017-01-04,3.28,Delivered
